id,game_id,hastily,normally,completely,count,game_name,popularity_value,genres,platforms,keywords,log_popularity_value,cover_url
1,873,1970-01-01 17:42:00,1970-01-02 01:56:00,1970-01-02 13:25:48,7,Saints Row: The Third,0.000527047532776,Shooter | Racing | Adventure,PlayStation 3 | Linux | PC (Microsoft Windows) | Xbox 360 | Nintendo Switch,zombies | helicopter | vehicular combat | bloody | cars | character customization | murder | drugs | minigames | organized crime | burnout | planes | skydiving | shooting | gangs | female protagonist | hand-to-hand combat | steam | bromance | achievements | multiple endings | building | artificial intelligence | crime | revenge | drifting | over the shoulder | economy | lucha libre | playstation network | sexual content | explosion | steam achievements | xbox controller support for pc | steam cloud | throwing weapons | playstation trophies | rivaling factions | professional wrestler | customizable characters | customization | voice acting | bink video | polygonal 3d | shopping | breaking the fourth wall | pop culture reference | game reference | licensed soundtrack | collectibles | ea app | original soundtrack release | motion blur | humble bundle | non-player character | profanity | vehicle customization | retail games with steam activation | sprinting mechanics | playstation plus | sniping | ragdoll physics | escort mission | checkpoints | falling damage | character creation | side quests | pick your gender | downloadable content | xbox live | melee | real-time combat | a.i. companion | stat tracking | infinite ammo | games with gold | wilhelm scream | internet culture reference | fake glitch | movie reference | commentary | rpg elements | robbery | falling sequence | christianity | law | in-game radio | theft | british accent | anti-hero | xbox one backwards compatibility | achievement attempt detection | gamersgate | clone | games on demand | onlive | high definition graphics | pre-order exclusive | dolby digital | wrestling moves in non-wrestling games | weapons swap | quick time event | horde mode | poverty | banter during gameplay | villain turned good | weapon modification | regenerating health | cross-dressing | sex change | finishing move | dual wielding | air strike | character models based on actual people | upgradeable vehicles | censored version | new purchase incentives | nameless protagonist | anarchism | sex work | renovation | police chase | notoriety system | breaking through windows | carjacking | rail shooting segment | gamescom 2011 | external character creation | avatar awards | multi-monitor support | futuristic game show | eb games expo australia | contest-driven development | previously on - xbox gamepass,0.0005269086920067,//images.igdb.com/igdb/image/upload/t_thumb/co2634.jpg
2,56,1970-01-02 01:00:00,1970-01-04 08:56:00,1970-01-13 22:00:00,5,The Elder Scrolls III: Morrowind,0.000202102865381,Role-playing (RPG) | Adventure,Xbox | PC (Microsoft Windows),ghosts | assassin | hunting | wizards | disease | vampire | murder | drugs | magic | guild | summoning support | death | procedural generation | mummy | archery | religion | steam | chosen one | custom soundtrack | snow | slavery | racism | teleportation | sequel | good vs evil | swimming | day/night cycle | alchemy | warriors | gods | trolls | user generated content | boss fight | trainer | sexual content | necromancy | single-player only | anthropomorphism | throwing weapons | attributes | customizable characters | leveling up | world map | bink video | human | polygonal 3d | loot gathering | goblins | skeletons | game reference | rat | werewolves | original soundtrack release | wasd movement | non-player character | bards | escort mission | falling damage | character creation | saving the world | side quests | branching storyline | duel | downloadable content | questing | melee | real-time combat | difficulty level | spellcaster | multiple gameplay perspectives | liberation | movie reference | mercenary | floating island | commerce | bribery | smuggling | theft | vampire hunter | healer | changing sides | sleeping | item combination | skill tree | merchants | reptilian humanoid | mod support | particle system | dolby digital | summoners | fetch quests | quest tracking | mana | agents | levitation | blacksmith | zero to hero | pickpocketing | lock picking | telekinesis | optional lore | fast traveling | barbarians | nameless protagonist | acrobatics | ghoul | dark elves | invented language | movement penalty | battle mage | two-handed weapons | flower picking | bartender | reincarnation | god mode | negotiation | greatest hits | conjuration | illusion | vampirism | level scaling | monomyth | danger zone | tomb raiding | level by doing | witch hunter | xbox 360 backwards compatibility | roaming the countryside | immersive | suggestive themes,0.0002020824453481,//images.igdb.com/igdb/image/upload/t_thumb/co2knd.jpg
3,2,1970-01-01 08:23:20,1970-01-01 18:55:00,1970-01-02 06:52:30,6,Thief: The Dark Project,3.6963452386e-05,Simulator | Adventure,PC (Microsoft Windows),ghosts | assassin | basketball | medieval | murder | magic | thief | swordplay | steampunk | blackjack | action-adventure | crime | swimming | darkness | single-player only | voice acting | polygonal 3d | bow and arrow | retail games with steam activation | potion | melee | real-time combat | instant kill | betrayal | difficulty level | bread | theft | pacifist playthrough | particle system | plot twist | stealth kill | invisibility | pickpocketing | moving bodies | reluctant hero | shadow stealth | tomb raiding | immersive | male protagonist,3.696276925442773e-05,//images.igdb.com/igdb/image/upload/t_thumb/co22ne.jpg
4,6279,,1970-01-01 06:12:00,,1,Device 6,4.620431548e-06,Puzzle | Adventure | Indie | Visual Novel,iOS,interactive fiction | female protagonist | abstract | text adventure | igf awards,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/o5tlcze9xgbv0kpnkzxc.jpg
5,494,1970-01-01 07:25:00,1970-01-01 08:17:00,1970-01-01 08:55:00,2,Bulletstorm,4.1583883935e-05,Shooter,PlayStation 3 | PC (Microsoft Windows) | Xbox 360,vehicular combat | dinosaurs | cybernetics | bloody | brutal | robots | futuristic | kaiju | cyborg | steam | achievements | online | controversial | slow-motion | high score | playstation network | no jumping | vehicle combat | explosion | countdown timer | playstation trophies | voice acting | human | polygonal 3d | skeletons | collectibles | ea app | original soundtrack release | wasd movement | extreme violence | profanity | playstation plus | downloadable content | xbox live | melee | real-time combat | difficulty level | post-credits plot twist | rock music | mercenary | recurring boss | achievement attempt detection | difficulty achievement | games on demand | high definition graphics | pre-order exclusive | dolby digital | quick time event | horde mode | voice chat | banter during gameplay | environmental kill | aggressive door-opening | new purchase incentives | environment as weapons | rail shooting segment | novint falcon support | skillshot | games for windows - live | gamescom 2010,4.158301934926692e-05,//images.igdb.com/igdb/image/upload/t_thumb/co7abq.jpg
6,529,1970-01-01 16:01:00,1970-01-01 21:49:42,1970-01-02 13:05:00,12,Far Cry 3,0.000818254863435,Shooter | Adventure,PlayStation 3 | PC (Microsoft Windows) | Xbox 360,hunting | exploration | bloody | poker | drugs | photography | shark | death | run and gun | chicken | doctor | insanity | action-adventure | steam | bird | achievements | time limit | multiple endings | online | hostages | tropical | revenge | snake | dog | nudity | sequel | climbing | swimming | day/night cycle | boss fight | sexual content | explosion | digital distribution | monkey | playing cards | leveling up | world map | voice acting | crocodile | bow and arrow | upgradeable weapons | ea app | wasd movement | non-player character | profanity | leopard | sprinting mechanics | playstation plus | sniping | falling damage | side quests | downloadable content | auto-saving | real-time combat | useable vehicles | male antagonist | in-game map editor | betrayal | difficulty level | rpg elements | mercenary | digital rights management | central intelligence agency | xbox one backwards compatibility | gamersgate | controversy | games on demand | realism | motion capture animation | gamescom 2012 | weapons swap | quick time event | stealth kill | tower reveals map | animal cruelty | regenerating health | new protagonist in sequel | kidnapping | character models based on actual people | fast traveling | censored version | dream sequence | sex work | game developers choice awards 2013 | escape from exploding building | pc to console port | bafta games award | male protagonist | cloud gaming,0.0008179202754306,//images.igdb.com/igdb/image/upload/t_thumb/co1vpd.jpg
7,6519,,1970-01-01 04:22:00,,1,Kaged,2.375172794e-06,Simulator | Adventure,PC (Microsoft Windows),text adventure | bink video,2.3751699732815656e-06,//images.igdb.com/igdb/image/upload/t_thumb/wqh3esam9tg8zmpqga13.jpg
8,570,1970-01-01 11:37:30,1970-01-01 17:30:00,1970-01-02 07:55:00,2,Prototype,7.9453756388e-05,Platform | Hack and slash/Beat 'em up | Adventure,PlayStation 3 | PlayStation 4 | PC (Microsoft Windows) | Xbox 360 | Xbox One,modern warfare | helicopter | post-apocalyptic | bloody | destruction | infection | parkour | military | flight | action-adventure | steam | achievements | mutants | campaign | building | conspiracy | tank | amnesia | mad scientist | superhero | one-man army | explosion | xbox controller support for pc | playstation trophies | modern military | based on - comics | human | polygonal 3d | upgradeable weapons | profanity | sprinting mechanics | ragdoll physics | checkpoints | melee | auto-saving | useable vehicles | instant kill | rpg elements | falling sequence | destructible environment | theft | anti-hero | shape-shifting | tentacles | games on demand | high definition graphics | animation canceling | wrestling moves in non-wrestling games | gliding | cannibalism | regenerating health | gore system | flashback | sex change | finishing move | new game plus | superpowers | in-game advertising | innocent people die | anarchism | disc streaming | acrobatics | sociopathy | secret achievements | swarming enemies | verticality | notoriety system | carjacking | super soldier | zombie virus | cars with no drivers | male protagonist | auto runner,7.945060010548248e-05,//images.igdb.com/igdb/image/upload/t_thumb/co1ql2.jpg
9,2940,1970-01-01 07:00:00,1970-01-01 10:45:00,1970-01-01 18:15:00,3,Killer Is Dead,1.8481726193e-05,Hack and slash/Beat 'em up,PlayStation 3 | PC (Microsoft Windows) | Xbox 360 | Xbox One,Not Available,1.848155540800273e-05,//images.igdb.com/igdb/image/upload/t_thumb/co4wxz.jpg
10,73,1970-01-01 16:04:20,1970-01-02 06:10:30,1970-01-03 00:35:22,14,Mass Effect,0.000123596516354,Shooter | Role-playing (RPG),PlayStation 3 | PC (Microsoft Windows) | Xbox 360,aliens | soldier | military | permadeath | spaceship | female protagonist | slavery | racism | over the shoulder | sexual content | party system | ea app | side quests | black market | real-time combat | mercenary | xbox one backwards compatibility | banter during gameplay | blamed for real life murders,0.0001235888789338,//images.igdb.com/igdb/image/upload/t_thumb/co1x7o.jpg
11,2155,1970-01-02 22:14:12,1970-01-03 11:10:00,1970-01-06 07:36:00,12,Dark Souls,0.000120131220256,Role-playing (RPG) | Adventure,PlayStation 3 | PC (Microsoft Windows) | Xbox 360,ghosts | exploration | monsters | knights | violence | wizards | medieval | brutal | magic | death | difficult | flight | insanity | action-adventure | achievements | apocalypse | undead | online | traps | sword & sorcery | boss fight | spiritual successor | digital distribution | anthropomorphism | playstation trophies | customizable characters | controller recommendation | human | polygonal 3d | bow and arrow | upgradeable weapons | wasd movement | non-player character | minotaurs | ragdoll physics | checkpoints | saving the world | moral decisions | side quests | branching storyline | player vs player | melee | auto-saving | real-time combat | parrying | games with gold | mercenary | british accent | xbox one backwards compatibility | gamersgate | games on demand | reptilian humanoid | multiple enemy boss fights | gamescom 2012 | boss assistance | sliding down ladders | meme origin | new game plus | fire manipulation | blacksmith | context sensitive | secret achievements | tokyo game show 2012 | swarming enemies | hidden room | entering world in a painting | dark second act | skull for a head | souls as currency | monsters that look suspiciously like genitalia | soul steal | old-fashioned english | pyromancer | gamescom 2011 | tomb raiding | games for windows - live | tokyo game show 2010 | soulslike | interconnected-world,0.0001201240050787,//images.igdb.com/igdb/image/upload/t_thumb/co1x78.jpg
12,1009,1970-01-01 15:12:40,1970-01-01 21:03:48,1970-01-02 17:06:15,11,The Last of Us,0.000212539851222,Shooter | Adventure,PlayStation 3,hunting | post-apocalyptic | disease | infection | murder | drugs | story driven | chess | dystopian | crafting | death | horse | doctor | female protagonist | hand-to-hand combat | action-adventure | apocalypse | undead | mutants | online | hostages | building | artificial intelligence | snow | survival horror | mud | dog | over the shoulder | echolocation | climbing | giraffe | horse riding | boss fight | comic book | game critics awards | platform exclusive | playstation trophies | rivaling factions | leveling up | voice acting | mouse | bow and arrow | bat | photo mode | original soundtrack release | unlockables | extreme violence | profanity | fake in-game advertising | corpse | tape recorder | sprinting mechanics | saving the world | moral decisions | melee | real-time combat | male antagonist | instant kill | wilhelm scream | vending machine interaction | rpg elements | gamescom 2014 | coming of age | mid-development ip split | arcade cabinet | cover system | rebels | villain | anti-hero | evolving title screen | suicide | car accident | motion capture animation | gamescom 2012 | stealth kill | poverty | banter during gameplay | d.i.c.e. awards 2014 | cannibalism | enemy tagging | in-engine cinematic | psychopathy | women in refrigerators syndrome | poisoning | scripted events | new game plus | surprising character switches | cutscene menu | animal petting | workbench mechanics | adapted to - tv show | escaping imprisonment | censored version | united states army | game developers choice awards 2014 | pax east 2013 | anarchism | sociopathy | anti-villain | pax prime 2012 | close quarters combat | foreshadowing | playstation home tie-in | forced slow walking | no respawn | heroic sacrifice | dark past | landmark button | comic relief | surgery in game | tragic villain | lgbtq+,0.0002125172678276,//images.igdb.com/igdb/image/upload/t_thumb/co1r7f.jpg
13,233,1970-01-01 09:00:00,1970-01-01 13:53:25,1970-01-01 21:40:00,23,Half-Life 2,0.001924690171297,Shooter,Xbox | PlayStation 3 | Linux | Android | PC (Microsoft Windows) | Mac | Xbox 360,aliens | zombies | dystopian | alternate history | run and gun | rebellion | steam | building | portals | teleportation | silent protagonist | alien invasion | radiation | resistance | real-time combat | environmental puzzles | a.i. companion | interactive environments | physics manipulation | guerilla warfare | linear gameplay | scripted events | vent crawling | first-person platforming | biotechnology | animal weaponry,0.0019228403283719,//images.igdb.com/igdb/image/upload/t_thumb/co1nmw.jpg
14,338,1970-01-01 02:37:30,1970-01-01 05:19:30,1970-01-01 08:40:00,14,Half-Life 2: Episode One,0.000244704081164,Shooter,PlayStation 3 | Linux | PC (Microsoft Windows) | Mac | Xbox 360,aliens | bloody | gravity | dystopian | death | robots | doctor | episodic | action-adventure | steam | apocalypse | undead | artificial intelligence | dog | terraforming | silent protagonist | swimming | hunter | alien invasion | one-man army | darkness | boss fight | explosion | radiation | steam achievements | digital distribution | xbox controller support for pc | single-player only | steam cloud | throwing weapons | robot dog | train level | voice acting | bink video | human | polygonal 3d | original soundtrack release | motion blur | wasd movement | non-player character | profanity | descendants of other characters | corpse | retail games with steam activation | sprinting mechanics | ragdoll physics | escort mission | checkpoints | falling damage | resistance | melee | auto-saving | environmental puzzles | a.i. companion | male antagonist | instant kill | infinite ammo | difficulty level | self-referential humor | quickloading | liberation | unreliable narrator | steam play | cheat code | destructible environment | scientist | interactive environments | evolving title screen | physics manipulation | suicide | particle system | evil organization | linear gameplay | agents | in-engine cinematic | levitation | scripted events | vent crawling | first-person platforming | character models based on actual people | escaping imprisonment | infinite spawn | fully customizable controls | biotechnology | developer commentary | trilogy | cliffhanger | tomboy | strafe-jumping | environment as weapons | dynamic difficulty | wormhole | professional gaming | mp7 | novint falcon support | gunship | buddy system | male protagonist,0.0002446741460037,//images.igdb.com/igdb/image/upload/t_thumb/co9c5r.jpg
15,247,1970-01-01 03:56:40,1970-01-01 06:22:38,1970-01-01 09:00:00,14,Half-Life 2: Episode Two,0.000325619092975,Shooter | Puzzle,PlayStation 3 | Linux | PC (Microsoft Windows) | Mac | Xbox 360,aliens | zombies | helicopter | bloody | gravity | dystopian | death | robots | run and gun | doctor | episodic | steam | achievements | apocalypse | undead | artificial intelligence | bugs | dog | terraforming | mad scientist | silent protagonist | swimming | hunter | alien invasion | one-man army | boss fight | explosion | radiation | steam achievements | digital distribution | xbox controller support for pc | single-player only | steam cloud | throwing weapons | robot dog | voice acting | bink video | human | polygonal 3d | original soundtrack release | motion blur | wasd movement | non-player character | profanity | descendants of other characters | retail games with steam activation | sprinting mechanics | ragdoll physics | checkpoints | falling damage | resistance | melee | auto-saving | useable vehicles | environmental puzzles | a.i. companion | male antagonist | instant kill | infinite ammo | difficulty level | quickloading | unreliable narrator | steam play | cheat code | destructible environment | scientist | interactive environments | evolving title screen | to be continued | physics manipulation | particle system | weapons swap | plot twist | evil organization | linear gameplay | agents | in-engine cinematic | levitation | scripted events | vent crawling | gnome | first-person platforming | balance platforms | character models based on actual people | escaping imprisonment | crow | fully customizable controls | biotechnology | developer commentary | trilogy | foreshadowing | cliffhanger | insect infestation | strafe-jumping | environment as weapons | tragic hero | dynamic difficulty | machinima | comic relief | wormhole | professional gaming | mp7 | novint falcon support | gunship | buddy system | vehicles | male protagonist,0.0003255660905835,//images.igdb.com/igdb/image/upload/t_thumb/co2mw2.jpg
16,60,1970-01-01 09:00:00,,1970-01-01 22:44:00,4,The Secret of Monkey Island,2.3102157742e-05,Point-and-click | Puzzle | Adventure,Atari ST/STE | Mac | DOS | FM Towns | Amiga | Sega CD,pirates | tropical | in-game anti-piracy effects | scummvm compatible,2.310189089126371e-05,//images.igdb.com/igdb/image/upload/t_thumb/co28bp.jpg
17,512,1970-01-01 07:09:30,1970-01-01 12:45:00,1970-01-01 15:00:00,5,Uncharted 3: Drake's Deception,6.9306473225e-05,Shooter | Platform | Adventure,PlayStation 3,horse | action-adventure | building | over the shoulder | sequel | good vs evil | playstation network | horse riding | playstation trophies | photo mode | original soundtrack release | motion blur | playstation plus | rpg elements | stealth kill | linear gameplay | local and online players together | playstation home tie-in | false death | landmark button | .45 defender,6.93040716423474e-05,//images.igdb.com/igdb/image/upload/t_thumb/co1tp8.jpg
18,5025,,1970-01-01 03:45:00,1970-01-01 05:30:00,11,To the Moon,0.000620198551533,Point-and-click | Puzzle | Role-playing (RPG) | Adventure | Indie,Xbox Series X|S | Linux | Android | PC (Microsoft Windows) | iOS | PlayStation 5 | Mac | Xbox One | Nintendo Switch,basketball | ninja | time travel | minigames | death | horse | rabbit | steam | bird | achievements | traps | steam trading cards | kid friendly | slow-motion | dreams | darkness | throwing weapons | countdown timer | platform exclusive | mouse | pop culture reference | game reference | google play game services | original soundtrack release | humble bundle | descendants of other characters | retail games with steam activation | auto-saving | in-game achievement menu | subtitled silence | movie reference | floating island | bread | punctuation mark above head | facebook games | gamersgate | onlive | scripted events | dream sequence | terminal illness | indie royale | timeskip | tragic hero,0.0006200063078933,//images.igdb.com/igdb/image/upload/t_thumb/co25yv.jpg
19,75,1970-01-01 18:12:00,1970-01-02 13:44:36,1970-01-03 07:42:45,6,Mass Effect 3,1.5431499573e-05,Shooter | Role-playing (RPG) | Adventure,PlayStation 3 | PC (Microsoft Windows) | Xbox 360,aliens | future | soldier | military | permadeath | futuristic | spaceship | female protagonist | space | action-adventure | space travel | slavery | racism | over the shoulder | sequel | sexual content | digital distribution | bink video | loot boxes | party system | ea app | original soundtrack release | 4 player co-op | playstation plus | side quests | real-time combat | pax prime 2013 | mercenary | pax east 2014 | kinect support | xbox one backwards compatibility | controversy | women in refrigerators syndrome | pax east 2013 | pax east 2012 | pax prime 2012 | playstation home tie-in | landmark button | pax prime 2011,1.5431380508635358e-05,//images.igdb.com/igdb/image/upload/t_thumb/co1x7q.jpg
20,1352,1970-01-01 02:30:00,1970-01-01 03:01:34,1970-01-01 07:04:00,11,Journey,0.000261331883254,Platform | Adventure,PlayStation 3 | PlayStation 4 | PC (Microsoft Windows) | iOS,exploration | 3d | flight | graphic adventure | hiding | snow | silent protagonist | 3d platformer | playstation network | platform exclusive | playstation trophies | 60 fps on consoles | polygonal 3d | game reference | motion control | original soundtrack release | playstation plus | auto-saving | gamescom 2014 | no hud | water level | no dialogue | dynamic soundtrack | gliding | ambient music | behind the waterfall | game developers choice awards 2013 | bafta games award | d.i.c.e. awards 2013 | sixaxis support | journey | gamescom 2010 | postmodernism | desert,0.0002612977420253,//images.igdb.com/igdb/image/upload/t_thumb/co1q8q.jpg
21,1517,1970-01-02 21:10:00,1970-01-03 04:43:30,,2,Pokémon Emerald Version,0.000198678556577,Role-playing (RPG) | Turn-based strategy (TBS) | Adventure,Game Boy Advance,exploration | anime | evolution | collecting | pikachu | minigames | turn-based | breeding | slot machine | gambling | bird | kid friendly | teleportation | giant insects | silent protagonist | rock paper scissors | boss fight | attributes | leveling up | shopping | party system | sprinting mechanics | tag teaming | character creation | side quests | pick your gender | potion | melee | coming of age | commerce | punctuation mark above head | recurring boss | tentacles | evil organization | one-handed gameplay | game console | animal cruelty | poisoning | victory music | random encounter | fire manipulation | burning | earth manipulation | fast traveling | battle screen | monster capturing | nameless protagonist | adapted to - anime | creature compendium | status effects | connectivity | rhydon | rhyhorn | rattata | clefable | parasect | drowzee | octillery | fictional currencies | psychics | legendary pokémon | gym leader | damage over time | e-reader | fisherman | gamecube | custom ui | color cartridges | fan translation - portuguese | nintendo e-reader | game boy advance link cable support,0.0001986588226063,//images.igdb.com/igdb/image/upload/t_thumb/co1zhr.jpg
22,538,1970-01-01 11:23:08,1970-01-01 14:28:04,1970-01-02 04:15:51,25,BioShock Infinite,0.001059570758949,Shooter | Adventure,PlayStation 3 | Linux | PC (Microsoft Windows) | Mac | Xbox 360,assassin | bloody | time travel | dark | story driven | dystopian | guitar playing | death | robots | alternate history | horse | 1910s | steampunk | futuristic | female protagonist | insanity | action-adventure | religion | steam | multiple protagonists | parallel worlds | backtracking | achievements | traps | artificial intelligence | dancing | torture | camera | racism | controversial | easter egg | capitalism | teleportation | economy | echolocation | singing | mad scientist | cult | boss fight | explosion | steam achievements | digital distribution | xbox controller support for pc | single-player only | steam cloud | game critics awards | playstation trophies | rivaling factions | playing cards | voice acting | corrupt government | bink video | human | polygonal 3d | bow and arrow | damsel in distress | breaking the fourth wall | microtransaction | pop culture reference | playstation move support | motion control | priest | full motion video | racial stereotypes | wasd movement | white noise | non-player character | fake in-game advertising | homage box art | retail games with steam activation | save point | playstation plus | saving the world | moral decisions | resistance | downloadable content | melee | real-time combat | a.i. companion | male antagonist | secret area | betrayal | vision obstruction | games with gold | difficulty level | self-referential humor | jump scare moment | movie reference | audio logs | vending machine interaction | rock music | political thriller | rpg elements | mercenary | falling sequence | floating island | christianity | bread | konami code | cover system | terrorists | atheism | communism | scientist | interactive environments | film noir | playstation now | villain | anti-hero | changing sides | been here before | xbox one backwards compatibility | suicide | controversy | hallucination | games on demand | surveillance camera | pre-order exclusive | dolby digital | dimension travel | plot twist | valuable garbage | alternate reality | horde mode | poverty | d.i.c.e. awards 2014 | new protagonist in sequel | environmental kill | women in refrigerators syndrome | finishing move | fire manipulation | lock picking | telekinesis | working for the enemy | fireworks | propaganda | superpowers | aquarium | censored version | chinese accent | fascism | context sensitive | reversible cover art | game developers choice awards 2014 | the 1980s | airship | falling object | cockroach | anarchism | sociopathy | anti-villain | secret achievements | pax east 2012 | bad parents | verticality | sex work | playstation home tie-in | fictional currencies | god complex | biblical quotes | sneaking mission | steam pre-purchase rewards | gamescom 2011 | monomyth | southern american themes | animal weaponry | divine punishment | pax prime 2011 | contest-driven development | pax east 2011 | immersive | lgbtq+ | male protagonist | political | cloud gaming | clouds,0.0010590098100607,//images.igdb.com/igdb/image/upload/t_thumb/co2n12.jpg
23,427,1970-01-02 15:40:00,1970-01-03 01:18:40,1970-01-04 04:08:51,11,Final Fantasy VII,0.000161715104191,Role-playing (RPG) | Adventure,PlayStation 3 | PlayStation | PlayStation Portable,motorcycle | anime | cyberpunk | turn-based | breeding | jrpg | death | counter-terrorists | futuristic | female protagonist | extreme sports | multiple protagonists | bromance | overworld | party-based combat | backtracking | time limit | artificial intelligence | amnesia | party-based | turn-based combat | bats | playstation network | possession | heroes | fixed camera | countdown timer | attributes | boxer | cat | polygonal 3d | psone classics | active ability | profanity | descendants of other characters | branching storyline | potion | blindness | betrayal | unreliable narrator | post-credits plot twist | political thriller | active time battle | mercenary | playstation tv support | terrorists | presidential candidate | interactive environments | film noir | villain | anti-hero | gamescom 2012 | plot twist | quick time event | evil organization | poverty | spiky-haired protagonist | androgyny | camping | ancient advanced civilization technology | ambient music | fan service | women in refrigerators syndrome | victory music | basilisks | genocide | battle screen | innocent people die | hidden character | airship | anti-villain | adapted to - anime | black magic | behind the waterfall | bad parents | secret history | tragic hero | secret past | eco-terrorism | pre-rendered backgrounds | evil empire | reluctant hero | adamantium | megaphone | armageddon | metagame | kill quest | backwards compatibility | male protagonist | turn-based rpg | fan translation - english | fan translation - portuguese | cloud strife,0.000161702029713,//images.igdb.com/igdb/image/upload/t_thumb/co2kx2.jpg
24,2168,,1970-01-01 07:01:00,,1,Alien Incident,4.620431548e-06,Point-and-click | Adventure,DOS,aliens | maze | mad scientist | alien abduction | wormhole,4.620420873839035e-06,//images.igdb.com/igdb/image/upload/t_thumb/co25ej.jpg
25,236,1970-01-01 07:00:00,,1970-01-01 07:57:30,3,Myst,0.000157094672642,Point-and-click | Puzzle | Adventure,Windows Mobile | Atari 2600 | Philips CD-i | PlayStation 3 | Windows Phone | PC (Microsoft Windows) | 3DO Interactive Multiplayer | Mac | LaserActive | Amiga | Atari Jaguar CD | PlayStation Vita | Sega Saturn | PlayStation | PlayStation Portable,scummvm compatible,0.000157082334566,//images.igdb.com/igdb/image/upload/t_thumb/co1y96.jpg
26,753,1970-01-02 19:02:00,,,1,Icewind Dale,9.240863097e-06,Role-playing (RPG) | Strategy,PC (Microsoft Windows) | iOS | Mac,death | micromanagement | dialogue trees | snow | dwarves | sword & sorcery | necromancy | customizable characters | shopping | rat | party system | bards | character creation | melee | environmental puzzles | quicksaving | based on - tabletop rpg | sleeping | shape-shifting | character import | pausable real time combat | fetch quests | new game plus | gnome | status effects | foreshadowing | conjuration | illusion,9.240820400487646e-06,//images.igdb.com/igdb/image/upload/t_thumb/co1t8h.jpg
27,7418,,1970-01-01 02:23:00,,2,Shivah,5.411462389e-06,Point-and-click | Adventure | Indie,Linux | Android | PC (Microsoft Windows) | iOS | Mac,detective | murder | death | religion | steam | hostages | dialogue trees | steam achievements | digital distribution | voice acting | pop culture reference | game reference | original soundtrack release | fake in-game advertising | moral decisions | suicide | in-game e-mail | indie royale | developer commentary | bartender | judaism | male protagonist,5.4114477470902286e-06,//images.igdb.com/igdb/image/upload/t_thumb/co22wc.jpg
28,472,1970-01-01 17:00:00,1970-01-05 12:27:40,1970-01-09 10:18:00,24,The Elder Scrolls V: Skyrim,0.002416009206102,Role-playing (RPG) | Adventure,PlayStation 3 | PC (Microsoft Windows) | Xbox 360,assassin | orcs | bloody | medieval | disease | vampire | murder | magic | grinding | guild | summoning support | crafting | procedural generation | elves | horse | archery | cooking | skeleton | steam | achievements | chosen one | undead | mutants | traps | steam trading cards | dialogue trees | revenge | snow | wolf | slavery | racism | fox | sequel | giant insects | slow-motion | mining | amiibo | day/night cycle | giants | easy | alchemy | trolls | horse riding | boss fight | trainer | sexual content | necromancy | xbox controller support for pc | single-player only | steam cloud | game critics awards | spider | playstation trophies | attributes | steam workshop | leveling up | world map | voice acting | bink video | xbox one x enhanced | polygonal 3d | bow and arrow | loot gathering | skeletons | motion control | werewolves | wasd movement | non-player character | corpse | retail games with steam activation | sprinting mechanics | escort mission | falling damage | treasure chest | saving the world | moral decisions | branching storyline | downloadable content | questing | potion | melee | real-time combat | a.i. companion | spellcaster | multiple gameplay perspectives | mercenary | kinect support | bread | destructible environment | bribery | theft | no hud | interactive environments | british accent | sleeping | controversy | games on demand | merchants | reptilian humanoid | mod support | high definition graphics | dolby digital | wrestling moves in non-wrestling games | stealth kill | super speed | meme origin | cannibalism | finishing move | kidnapping | fire manipulation | zero to hero | pickpocketing | dual wielding | lock picking | escaping imprisonment | fast traveling | reversible cover art | sociopathy | restoration | dark elves | invented language | fully customizable controls | behind the waterfall | battle mage | pseudo non-linear | flower picking | slip cover packaging | conjuration | comic relief | illusion | vampirism | level scaling | gamescom 2011 | novint falcon support | monomyth | pc to console port | nomads | tomb raiding | game developers choice awards 2012 | interactive achievement awards 2012 | pax prime 2011 | dwemer | spike video game awards 2010 | spike video game awards 2011 | immersive | lgbtq+ | male protagonist | bees,0.002413095348188,//images.igdb.com/igdb/image/upload/t_thumb/co1tnw.jpg
29,7444,1970-01-01 02:40:00,1970-01-01 07:40:00,1970-01-01 10:00:00,6,Shovel Knight,6.728198045e-06,Platform | Adventure | Indie,PlayStation 3 | PlayStation 4 | Linux | Nintendo 3DS | PC (Microsoft Windows) | Mac | Wii U | PlayStation Vita | Xbox One | Nintendo Switch,retro | fishing | 8-bit style | female protagonist | billiards | level selection | amiibo | crowdfunding - kickstarter | crowdfunding | digital distribution | xbox controller support for pc | challenges | dualshock 4 support for pc | upgradeable weapons | transforming boss | deliberately retro | pax south 2017 | original soundtrack release | 4 player co-op | off-tv play | stereoscopic 3d | pick your gender | wii u pro controller support | wii remote support on wii u | wii nunchuk support on wii u | crowd funded | level select map | in-game achievements | female antagonist | pax prime 2013 | respawning | pax prime 2014 | pax east 2014 | pax prime 2015 | wii classic controller support | recurring boss | miiverse integration | pax east 2015 | development hell | merchants | gender recasting | sideways wii remote gameplay | gamescom 2015 | new game plus | pax east 2013 | playable boss | slideshow cutscene | plague doctor | male protagonist | the game awards - best independent game - winner | streetpass support,6.7281754107770585e-06,//images.igdb.com/igdb/image/upload/t_thumb/co6pup.jpg
